,Event,Event_Score,rat_PCD_pred,pig_PCD_pred,infant_PCD_pred
72, nucleus accumbens - peak,1.69,17.70984221,50.99915774,70.44279096
35, nucleus of lateral olfactory tract-peak,1.375,14.11877899,38.41295109,52.60269829
93, rapid axon loss in optic nerve ends,2.331,29.64914818,92.8448627,129.7562342
40, stria medullaris thalami appears,1.414,14.50450412,39.7648672,54.51894751
86,adultlike cortical innervation of dLGN,2.103,24.50553692,74.81717837,104.2032167
7,All eight hippocmpal flexures are distinguishable,1.647477136,17.15656685,49.06,67.69416663
37,amygdala - peak,1.392,14.28506768,38.9957712,53.42880618
1,Anterior commissure and external capsule peak,1.08194108,11.65507756,29.778,40.36324188
66,anterior commisure appears,1.62,16.81136675,47.85011882,65.97924226
51,"AV, AM and AD nuclei - peak",1.483,15.22490286,42.28977053,58.0978264
19,axons in optic stalk ,1.25,12.97914242,34.41867405,46.941082
2,Basal ganglia appears,1.08194108,11.65507756,29.778,40.36324188
68,"CA 1, CA 2-peak",1.637,17.02382072,48.5947422,67.03469532
54,caudoputamen - peak,1.532,15.76752888,44.19160368,60.79354567
39,claustrum-peak,1.41,14.46424667,39.62377011,54.31895197
9,Clear delineation of MEC and LEC,1.866670242,20.27793874,60,83.20087323
31,cochlear nuclei - peak,1.343,13.81333129,37.34239688,51.08526044
67,cones - peak,1.63,16.93590205,48.28659877,66.59792293
77,corpus callosum appears,1.742,18.41919741,53.48535487,73.96680645
85,cortical axons innervate dLGN,2.005,22.63053003,68.2455246,94.88834405
80,cortical axons reach dLGN,1.794,19.16641496,56.10425462,77.67891888
64,cortical lamina IV - start,1.607,16.65132153,47.28918127,65.1841514
63,cortical lamina VI-end,1.596,16.51751428,46.82020437,64.51940853
81,cortical layer II/III - peak,1.826,19.64593159,57.78489765,80.06111617
70,cortical layer II/III - start,1.681,17.59077026,50.58182613,69.85125176
84,cortical layer II/III -end,1.929,21.29781436,63.57453059,88.26752745
82,cortical layer IV - end,1.839,19.84516089,58.48317025,81.05087014
74,cortical layer IV-peak,1.703,17.88373804,51.60863984,71.30669042
71,cortical layer V-end,1.689,17.69655901,50.95260187,70.37680117
48,cortical layer VI peak,1.448,14.85327273,40.98725553,56.2515999
17,cortical layer VI-start ,1.244,12.92794132,34.2392209,46.68671936
61,cortical layer V-peak,1.582,16.34932912,46.23073741,63.68387916
44,cortical layer V-start,1.422,14.58550372,40.0487602,54.92134654
0,cranial motor nuclei-peak,0.903,10.46964746,25.62322266,34.47412732
10,cranial sensory nuclei-peak,1.155,12.20345245,31.69998225,43.08752112
21,deep cerebellar nuclei-peak,1.256,13.03065164,34.59920715,47.1969754
65,dentate gyrus - peak,1.617,16.77424835,47.7200237,65.79484128
41,dLGN-end,1.416,14.52469331,39.83562767,54.61924567
27,dLGN-peak,1.323,13.62733087,36.69048974,50.16122637
11,dLGN-start ,1.156,12.2112398,31.72727588,43.12620798
8,Entorhinal cortex appears ,1.668315841,17.42476516,50,69.02655275
43,entorhinal cortex-peak,1.421,14.5753433,40.01314924,54.87087043
12,external capsule appears,1.163,12.26596981,31.9190974,43.39810195
94,eye opening,2.546,35.70065952,114.054618,159.8196211
29,fasciculus retroflexus appears,1.338,13.76648185,37.17819574,50.85251648
59,fornix appears,1.573,16.24244685,45.85612904,63.15289725
23,globus pallidus-peak,1.272,13.16953013,35.08595809,47.88691178
75,hippocampal commisure appears,1.711,17.99187993,51.98766303,71.84393004
46,﻿anterior olfactory nucleus - peak,1.441,14.78049484,40.73217855,55.89004562
3,Inferior colliculi appear,1.16430474,12.27621344,31.955,43.44899144
