,E_scale,S_scale,Event,PCD_lr,CI,PCD_S_scale_2.151_predicted,PCD_differences_2.151,PCD_S_scale_2.208_predicted,PCD_differences_2.208,PCD_S_scale_2.186_predicted,PCD_differences_2.186
0,0.903,2.22682600803469,Cranial motor nuclei peak,27.29,2,25.619974948440387,1.6700250515596125,26.863476659405315,0.42652334059468444,26.375111882663056,0.9148881173369432
1,1.128,2.34396645255036,Red nucleus peak,36.62,2,30.969210210630337,5.650789789369661,32.52647565089518,4.093524349104818,31.91488534719288,4.705114652807119
2,1.163,2.00681162315391,External capsule appears,28.223,3,31.91488534719298,3.6918853471929793,33.52762012896377,5.304620128963769,32.89424515673892,4.6712451567389195
3,1.244,1.9978107961507,Cortical layer VI start,30.0,3,34.23465347493594,4.234653474935939,35.98345613616911,5.98345613616911,35.2966427496747,5.296642749674703
4,1.248,2.3161662099403,Mammillo-thalamic tract appears,39.73,3,34.35415092440472,5.375849075595276,36.1099628053767,3.6200371946232934,35.42039666349588,4.309603336504118
5,1.25,2.39857815734041,Axons in optic stalk,42.84,2,34.41407913448755,8.425920865512452,36.17340615318748,6.666593846812525,35.482459498970734,7.35754050102927
6,1.272,2.96961448095714,Globus pallidus peak,73.94,3,35.08126096614435,38.85873903385565,36.879722075861274,37.060277924138724,36.173406153187564,37.766593846812434
7,1.302,1.82782600803469,Medial forebrain bundle appears,27.29,1,36.01503537929545,8.725035379295448,37.86826778394231,10.578267783942309,37.14044133901962,9.850441339019618
8,1.305,1.76889629452335,Internal Capsule Appears - starts,26.046,3,36.109962805376895,10.063962805376896,37.96876325512931,11.922763255129311,37.238750052375174,11.192750052375175
9,1.401,2.32541605764266,Superior colliculi peak,45.95,1,39.303013795650685,6.646986204349318,41.349105238871736,4.6008947611282665,40.54553658910485,5.404463410895154
10,1.421,3.13896359315001,Entorhinal cortex peak,100.0,2,40.00769741849462,59.99230258150538,42.09512265068605,57.90487734931395,41.27532083739038,58.72467916260962
11,1.421,2.30541605764266,Substantia nigra peak,45.95,1,40.00769741849462,5.9423025815053805,42.09512265068605,3.854877349313952,41.27532083739038,4.674679162609621
12,1.422,1.8198107961507,Cortical layer V start,30.0,3,40.0433029156946,10.043302915694603,42.1328166171788,12.132816617178797,41.312194592032256,11.312194592032256
13,1.463,1.70681162315391,Septal nuclei peak,28.223,1,41.534213149200845,13.311213149200846,43.71117739865829,15.488177398658294,42.85621061390238,14.633210613902378
14,1.519,2.0451662099403,Optic fibers travel into superior colliculus,39.73,3,43.67190586030168,3.9419058603016808,45.974258208105304,6.2442582081053075,45.07004731687571,5.340047316875712
15,1.573,1.79739447250711,Fornix appears,33.51,3,45.84978224078918,12.339782240789184,48.27987969263149,14.769879692631491,47.32549901983773,13.81549901983773
16,1.596,2.22346902381754,Cortical layer VI end,50.0,3,46.813709907727116,3.186290092272884,49.30034731803631,0.6996526819636912,48.32376150957589,1.6762384904241117
17,1.607,2.21246902381754,Cortical layer IV start,50.0,3,47.28261496641843,2.7173850335815715,49.79675638294373,0.20324361705627325,48.80936882991247,1.1906311700875278
18,1.617,2.18163031807306,Dentate gyrus peak,49.06,2,47.713391408495305,1.3466085915046975,50.25280036632989,1.192800366329891,49.25548940341385,0.1954894034138448
19,1.62,1.54981162315391,Anterior commissure appears,28.223,3,47.8434665979486,19.6204665979486,50.39050522143292,22.16750522143292,49.39019783323752,21.167197833237523
20,1.681,2.13846902381754,Cortical layer II/III start,50.0,3,50.574755497203505,0.5747554972035047,53.28200008449783,3.282000084497831,52.21877444773152,2.218774447731519
21,1.689,2.13046902381754,Cortical layer V end,50.0,3,50.945474439785876,0.9454744397858761,53.674463847086336,3.6744638470863364,52.60269829109518,2.60269829109518
22,1.711,1.93757815734041,Hippocampal commisure appears,42.84,1,51.980377065609346,9.140377065609343,54.77006952510793,11.930069525107925,53.674463847086464,10.834463847086461
23,1.742,2.00663310851305,Corpus Callosum appears,46.883,3,53.47783950255308,6.594839502553079,56.355366834827386,9.472366834827383,55.22526545997248,8.34226545997248
24,1.839,2.3442707714165,Cortical layer IV end,70.0,3,58.47488936332271,11.52511063667729,61.64552270476717,8.354477295232833,60.40030878163988,9.599691218360121
25,1.929,2.2542707714165,Cortical layer II/III end,70.0,3,63.56546984987801,6.4345301501219865,67.03469531514486,2.965304684855141,65.67221426274736,4.32778573725264
26,2.546,2.16874182241738,Development of the eye,116.0,3,114.03782520264386,1.9621747973561412,120.46754757369642,4.467547573696422,117.94238021560965,1.9423802156096457
