Brain_Region    PCD_lr              
iCC             576.877722110884    
ibodyCC         600.602591950829    
igenuCC         595.08909716705     
isCC            547.914097449628    
iCere           415.971017105917    
iLCaud          814.091448125334    
iRCaud          909.057944402252    
iLHippo         906.250836401558    
iRHippo         940.786794712443    
iLPut           769.15083432719     
iRPut           770.466135863592    
iLThal          618.706921593067    
irThal          650.605307032628    
iThal           634.145501416384    
iLIC            510.257778156122    
iRIC            510.803619803993    
